pathwayID,nbID
R-HSA-5678771,1
R-HSA-189085,11
R-HSA-2151209,10
R-HSA-9034793,3
R-HSA-8978934,25
R-HSA-5678420,2
R-HSA-9916722,1
R-HSA-444257,7
R-HSA-5690714,7
R-HSA-5579011,1
R-HSA-8847993,6
R-HSA-8875360,17
R-HSA-373760,86
R-HSA-3359463,3
R-HSA-5625740,62
R-HSA-8953854,747
R-HSA-2033519,19
R-HSA-9711123,200
R-HSA-5689603,82
R-HSA-9764265,159
R-HSA-451927,42
R-HSA-198933,159
R-HSA-1445148,51
R-HSA-194313,8
R-HSA-5609974,1
R-HSA-4420332,20
R-HSA-4724289,1
R-HSA-5339562,48
R-HSA-9603505,3
R-HSA-5579012,1
R-HSA-3359462,3
R-HSA-4411364,8
R-HSA-381753,421
R-HSA-9673768,5
R-HSA-163685,107
R-HSA-376176,205
R-HSA-888568,2
R-HSA-9938206,1
R-HSA-446652,140
R-HSA-5609975,16
R-HSA-9020558,12
R-HSA-8851708,23
R-HSA-375281,13
R-HSA-9916720,1
R-HSA-5679090,2
R-HSA-196757,18
R-HSA-9705677,6
R-HSA-177243,42
R-HSA-5205685,32
R-HSA-1296067,3
R-HSA-9013418,23
R-HSA-8939902,60
R-HSA-9937008,11
R-HSA-5579013,1
R-HSA-3359473,2
R-HSA-198753,22
R-HSA-2559582,80
R-HSA-9956520,2
R-HSA-71262,4
R-HSA-372708,15
R-HSA-6804757,36
R-HSA-9909649,69
R-HSA-1296065,31
R-HSA-9013419,7
R-HSA-9735871,18
R-HSA-9749641,44
R-HSA-9615710,23
R-HSA-1834949,64
R-HSA-1483152,2
R-HSA-68882,224
R-HSA-9700649,1
R-HSA-9632697,2
R-HSA-5619068,1
R-HSA-438066,19
R-HSA-165160,2
R-HSA-975144,10
R-HSA-9828642,6
R-HSA-5632928,3
R-HSA-9679514,7
R-HSA-212300,44
R-HSA-6804756,93
R-HSA-9672395,1
R-HSA-9837999,98
R-HSA-2559583,165
R-HSA-4719377,3
R-HSA-6814122,38
R-HSA-351143,2
R-HSA-983169,289
R-HSA-442742,29
R-HSA-390666,12
R-HSA-9846298,5
R-HSA-9609736,25
R-HSA-9694493,5
R-HSA-203927,20
R-HSA-191859,58
R-HSA-9639288,55
R-HSA-1251985,27
R-HSA-1482922,17
R-HSA-196791,12
R-HSA-166187,7
R-HSA-9735786,1
R-HSA-6803207,12
R-HSA-1300642,9
R-HSA-179812,14
R-HSA-6804759,14
R-HSA-9705671,138
R-HSA-2559584,16
R-HSA-9652169,4
R-HSA-9694719,10
R-HSA-9673240,2
